date,title,description,best_result_raw,best_result_display,score_type,barbell_lift,set_details,notes,rx_or_scaled,pr
09/06/2018,"Push Press","",205,"205","Load","Push Press","[{""load"":205,""success"":true}]","",SCALED,
09/10/2018,"Overhead Squat","",225,"225","Load","Overhead Squat","[{""load"":225,""success"":true}]","",SCALED,
10/24/2018,"Back Squat","",315,"315","Load","Back Squat","[{""load"":315,""success"":true}]","",SCALED,
10/30/2018,"RDL","Romanian Deadlift",215,"215","Load","","[{""load"":215,""success"":true}]","",SCALED,PR
11/06/2018,"Front Squat","",235,"235","Load","Front Squat","[{""load"":235,""success"":true}]","",SCALED,
11/08/2018,"Clean","",220,"220","Load","Clean","[{""load"":220,""success"":true}]","",SCALED,
12/17/2018,"Bench Press","",300,"300","Load","Bench Press","[{""load"":300,""success"":true}]","Jeff (spotter) nudged a little on the second rep of 300",SCALED,
12/20/2018,"Front Squat","",275,"275","Load","Front Squat","[{""load"":275,""success"":true}]","failed @295",SCALED,
01/03/2019,"Bench Press 6x6","Bench Press for load: #1: 6 reps @ 80% #2: 6 reps @ 80% #3: 6 reps @ 80% #4: 6 reps @ 80% #5: 6 reps @ 80% #6: 6 reps @ 80%",235,"235","Load","Bench Press","[{""success"":true,""load"":235},{""success"":true,""load"":235},{""success"":true,""load"":235},{""success"":true,""load"":205},{""success"":true,""load"":205},{""success"":true,""load"":205}]","",RX,
01/03/2019,"Bent Over Row 6x12","Bent Over Row for load: #1: 12 reps #2: 12 reps #3: 12 reps #4: 12 reps #5: 12 reps #6: 12 reps",55,"55","Load","Bent Over Row","[{""success"":true,""load"":55},{""success"":true,""load"":55},{""success"":true,""load"":55},{""success"":true,""load"":55},{""success"":true,""load"":55},{""success"":true,""load"":55}]","",RX,
01/03/2019,"Gwen","Clean & Jerk 15-12- and 9 repsTouch and go at floor only. Even a re-grip off the floor is a foul. No dumping. Use same load for each set. Rest as needed between sets.",115,"115","Load","","[{""success"":true,""load"":115}]","8:45",RX,PR
01/09/2019,"Back Squat 6x3","Back Squat for load: #1: 3 reps @ 40% #2: 3 reps @ 50% #3: 3 reps @ 60% #4: 3 reps @ 70% #5: 3 reps @ 75% #6: 3 reps @ 75%",265,"265","Load","Back Squat","[{""success"":true,""load"":135},{""success"":true,""load"":155},{""success"":true,""load"":185},{""success"":true,""load"":235},{""success"":true,""load"":255},{""success"":true,""load"":265}]","",RX,
01/09/2019,"3 Rounds","3 rds3:00 Row cals2:00 ABike cals1:00 Sit-upsRest 2:00score is total cals + sit-upsTakes 22mins* may start on Abike then SU then row or can start a second group 3 mins after the first group.Auxiliary Training",331,"331","Reps","","[{""reps"":331}]","68-22-2461-19-2660-24-27First day back after being sick 🤮",RX,
01/10/2019,"Clean complex(1 clean pull, 1 power clean, 1 squat clean)","40%-150%-160%-170%-175%-175%-1Record 75%",225,"225","Load","","[{""success"":true,""load"":225}]","95-95-135-155-175-185-205-225",RX,
01/10/2019,"3 Sets for time ea. set","3 sets10 Shoulder 2 Overhead 155/10510 Toe 2 Bar20 Barbell Backrack Lunges, inc. Wt./ setrest 3 min*Goal is to increase effort each set!Score is time per set (3 different times)",508,"8:28","Time","","[{""secs"":46,""mins"":2},{""secs"":49,""mins"":2},{""secs"":53,""mins"":2}]","S2OH - 135#Lunges - 115-125-135T2B",SCALED,
01/14/2019,"Macho Man","EMOM 103 x Power Clean 145/1053 x Front Squat 3 x Jerks*You are done when you can no longer complete all 9 reps in a minute. Score is total reps*After 10th minute if you are still going add 1 rep per movement EMOM until you can no longer complete within the minute.i.e 11th min = 4-4-4, 12th = 5-5-5 etc.",114,"114","Reps","","[{""reps"":114}]","125#",SCALED,
01/14/2019,"Back Squat 6x3","Back Squat for load: #1: 3 reps @ 60% #2: 3 reps @ 70% #3: 3 reps @ 75% #4: 3 reps @ 80% #5: 3 reps @ 85% #6: 3 reps @ 85%",285,"285","Load","Back Squat","[{""success"":true,""load"":135},{""success"":true,""load"":185},{""success"":true,""load"":225},{""success"":true,""load"":275},{""success"":true,""load"":285},{""success"":true,""load"":285}]","",RX,
01/15/2019,"For Time","3 Rds15 Chest 2 Bar Pull-ups12 Lateral Burpees over Bar9  Hang Power Snatch  95/65",652,"10:52","Time","","[{""secs"":52,""mins"":10}]","",RX,
01/15/2019,"Snatch 6x3","Halting Snatch w/ 1 Sec pause at knees #1: 3 reps @ 50% #2: 3 reps @ 60% #3: 3 reps @ 65% #4: 3 reps @ 70% #5: 3 reps @ 75% #6: 3 reps @ 75%",135,"135","Load","Snatch","[{""success"":true,""load"":75},{""success"":true,""load"":85},{""success"":true,""load"":95},{""success"":true,""load"":115},{""success"":true,""load"":135},{""success"":true,""load"":135}]","",RX,
01/16/2019,"Clean Pull 6x3","Clean Pull for load: #1: 3 reps @ 60% #2: 3 reps @ 70% #3: 3 reps @ 80% #4: 3 reps @ 90% #5: 3 reps @ 100% #6: 3 reps @ 110%",280,"280","Load","Clean Pull","[{""success"":true,""load"":135},{""success"":true,""load"":185},{""success"":true,""load"":215},{""success"":true,""load"":245},{""success"":true,""load"":265},{""success"":true,""load"":280}]","",RX,
01/16/2019,"1 Round every 4th Minute x 5","30 Air Squats20/15 Cals Row or 14/10 Cals Assault Bike7 Squat Cleans 135/95Score is time it takes to complete  EACH round",891,"14:51","Time","","[{""secs"":42,""mins"":2},{""secs"":55,""mins"":2},{""secs"":55,""mins"":2},{""secs"":7,""mins"":3},{""secs"":12,""mins"":3}]","",RX,
01/21/2019,"Clean + Front Squat + Split Jerk","40%-150%-160%-165%-170%-170%-1",230,"230","Load","","[{""success"":true,""load"":135},{""success"":true,""load"":155},{""success"":true,""load"":185},{""success"":true,""load"":205},{""success"":true,""load"":230},{""success"":true,""load"":230}]","",RX,
01/21/2019,"The Chief","Max rounds in 3 minutes of:• 135 pound Power cleans, 3 reps• 6 Push-ups• 9 SquatsRest 1 minute. Repeat for a total of 5 cycles.",20.002,"20+2","Rounds + Reps","","[{""reps"":0,""rnds"":0},{""rnds"":0},{""rnds"":0},{""rnds"":0},{""rnds"":20,""reps"":2}]","4+9, 4+1, 3+9, 4, 4+1",RX,PR
01/22/2019,"Bench Press 12-12-10-10-8-8","Bench Press for load: #1: 12 reps @ 40% #2: 12 reps @ 50% #3: 10 reps @ 60% #4: 10 reps @ 65% #5: 8 reps @ 70% #6: 8 reps @ 70%",220,"220","Load","Bench Press","[{""success"":true,""load"":135},{""success"":true,""load"":155},{""success"":true,""load"":185},{""success"":true,""load"":205},{""success"":true,""load"":220},{""success"":false,""load"":220}]","Got 7 reps on last set",RX,
01/22/2019,"Megan","21-15-9 reps for time of:• Burpees• KB Swings (53/35)• Double-Unders",467,"7:47","Time","","[{""secs"":47,""mins"":7}]","Rx minus dubs were 12-8-8",SCALED,PR
01/22/2019,"Bent Over Row 6x8","Bent Over Row for load: #1: 8 reps #2: 8 reps #3: 8 reps #4: 8 reps #5: 8 reps #6: 8 repsDB Bent Over Row, 8 Reps per side after ea round of bench",60,"60","Load","Bent Over Row","[{""success"":true,""load"":60},{""success"":true,""load"":60},{""success"":true,""load"":60},{""success"":true,""load"":60},{""success"":true,""load"":60},{""success"":true,""load"":60}]","",RX,
01/23/2019,"Sumo Deadlift 6x3","Speed Sumo Deadlift w/ Band #1: 3 reps #2: 3 reps #3: 3 reps #4: 3 reps #5: 3 reps #6: 3 reps",275,"275","Load","Sumo Deadlift","[{""success"":true,""load"":135},{""success"":true,""load"":135},{""success"":true,""load"":185},{""success"":true,""load"":225},{""success"":true,""load"":275},{""success"":true,""load"":275}]","",RX,
01/23/2019,"For Time","27 - 21 - 15 - 9Pull-upCals ABike or Row",645,"10:45","Time","","[{""secs"":45,""mins"":10}]","Shoulder hurts - alternated between strict pull-ups and ring rows. Last set did kipping pull-ups and ring rows. Did Rx’d reps ",SCALED,
01/29/2019,"Clean & Jerk 6x3","Clean & Jerk for load: #1: 3 reps @ 60% #2: 3 reps @ 70% #3: 3 reps @ 80% #4: 3 reps @ 85% #5: 3 reps @ 90% #6: 3 reps @ Establish new 3RM",220,"220","Load","Clean & Jerk","[{""success"":true,""load"":95},{""success"":true,""load"":140},{""success"":true,""load"":170},{""success"":true,""load"":195},{""success"":true,""load"":210},{""success"":true,""load"":220}]","I didn’t have a 3 rep",RX,
